,team,off,def,clase_K-means
173,Nantes,1.3,1.1,0
174,LASK Linz,1.5,1.3,0
175,Vasco da Gama,1.4,1.2,0
176,Corinthians,1.2,1.0,0
177,Coventry City,1.3,1.1,0
178,PAOK,1.4,1.2,0
179,Guadalajara,1.4,1.1,0
180,Santos,1.3,1.0,0
181,Famalicão,1.4,1.2,0
182,Verona,1.4,1.2,0
183,Cruz Azul,1.3,1.1,0
184,Vissel Kobe,1.5,1.3,0
185,Konyaspor,1.4,1.2,0
186,Metz,1.3,1.1,0
187,Boavista,1.4,1.2,0
188,Frosinone,1.4,1.2,0
189,Heerenveen,1.7,1.5,0
190,Cruzeiro,1.4,1.2,0
191,Talleres,1.3,1.2,0
192,Argentinos,1.3,1.1,0
193,Qarabağ,1.4,1.3,0
194,Maccabi Haifa,1.7,1.5,0
195,Malmö,1.6,1.4,0
196,Hapoel Be'er,1.5,1.3,0
197,Häcken,1.8,1.6,0
198,Spezia,1.4,1.3,0
199,NEC,1.5,1.4,0
200,Toluca,1.6,1.4,0
201,Salernitana,1.5,1.4,0
202,West Brom,1.4,1.2,0
203,Gil Vicente,1.4,1.2,0
204,Rapid Vienna,1.6,1.5,0
205,Chaves,1.4,1.3,0
206,Auxerre,1.3,1.2,0
207,Cagliari,1.2,1.1,0
208,FC Cincinnati,1.5,1.4,0
209,Vizela,1.2,1.1,0
210,Santos Laguna,1.4,1.3,0
211,Stoke City,1.2,1.2,0
212,AGF Aarhus,1.3,1.2,0
213,Cremonese,1.5,1.4,0
214,Arouca,1.2,1.1,0
215,Orenburg,1.6,1.5,0
216,Boca Juniors,1.1,1.0,0
217,Atlanta,1.6,1.5,0
218,Panathinaikos,1.0,0.9,0
219,Millwall,1.3,1.3,0
220,Genoa,1.2,1.2,0
221,Aris,1.4,1.3,0
222,Grêmio,1.4,1.4,0
223,Angers,1.3,1.3,0
224,Estudiantes,1.2,1.1,0
225,Dinamo Moscow,1.4,1.4,0
226,Nashville,1.3,1.3,0
227,St. Gallen,1.7,1.7,0
228,Casa Pia,1.2,1.2,0
229,St Étienne,1.5,1.5,0
230,Rio Ave,1.2,1.2,0
231,Urawa Reds,1.2,1.2,0
232,Sunderland,1.3,1.3,0
233,Bahía,1.2,1.3,3
234,Norwich,1.2,1.2,0
235,Brøndby,1.6,1.6,0
236,Watford,1.3,1.3,0
237,Elfsborg,1.5,1.5,0
238,Bordeaux,1.1,1.1,0
239,América Mineiro,1.3,1.3,0
240,Westerlo,1.6,1.6,0
241,Kawasaki,1.4,1.4,0
242,AEK Larnaca,1.2,1.2,0
243,Apollon Limassol,1.2,1.2,0
244,Columbus,1.4,1.5,0
245,Seattle,1.3,1.4,0
246,Lugano,1.4,1.5,0
247,NYCFC,1.3,1.3,0
248,OH Leuven,1.4,1.5,0
249,NY Red Bulls,1.1,1.2,3
250,San Lorenzo,0.9,0.9,0
251,Blackburn,1.2,1.2,0
252,Santa Clara,1.3,1.3,0
253,FC St. Pauli,1.3,1.4,0
254,Rostov,1.4,1.5,0
255,Marítimo,1.3,1.4,0
256,Hibernian,1.3,1.4,0
257,Bristol City,1.2,1.2,0
258,Hearts,1.4,1.5,0
259,Rosenborg,1.5,1.7,3
260,Nordsjælland,1.3,1.5,3
261,Lanús,1.2,1.3,3
262,CFR Cluj,1.2,1.3,3
263,Orlando City,1.3,1.5,3
264,Wolfsberg,1.4,1.6,3
265,Levante,1.1,1.1,0
266,Viborg,1.2,1.3,3
267,D.C. United,1.3,1.5,3
268,Kashima Antlers,1.2,1.3,3
269,Tenerife,1.0,1.1,3
270,FC Dallas,1.2,1.3,3
271,New England,1.4,1.6,3
272,Cuiabá,1.1,1.2,3
273,Basel,1.4,1.6,3
274,Vancouver,1.4,1.6,3
275,Ludogorets,1.3,1.5,3
276,Nagoya,1.1,1.3,3
277,Hamburger SV,1.5,1.7,3
278,Parma,1.1,1.3,3
279,Puebla,1.3,1.5,3
280,Sampdoria,1.4,1.6,3
281,Standard Liège,1.4,1.6,3
282,Motherwell,1.2,1.4,3
283,Silkeborg,1.4,1.6,3
284,Andorra,1.0,1.2,3
285,Charleroi,1.3,1.5,3
286,Zürich,1.4,1.6,3
287,Sint-Truidense,1.1,1.3,3
288,Vélez Sarsfield,1.0,1.1,3
289,Pumas UNAM,1.2,1.5,3
290,SC Paderborn,1.4,1.7,3
291,Portimonense,1.2,1.4,3
292,Justicia,1.1,1.3,3
293,Bastia,1.2,1.4,3
294,Estoril,1.2,1.4,3
295,Portland,1.3,1.5,3
296,Granada,1.0,1.2,3
297,Bari,1.1,1.3,3
298,M. Sundowns,1.0,1.3,3
299,Sanfrecce,1.2,1.4,3
300,Servette,1.3,1.6,3
301,San Luis,1.2,1.4,3
302,LA Galaxy,1.4,1.7,3
303,Volendam,1.5,1.8,3
304,RKC,1.5,1.8,3
305,Caen,1.2,1.4,3
306,Odense,1.4,1.6,3
307,Goiás,1.1,1.4,3
308,Sivasspor,1.2,1.5,3
309,Kasımpaşa,1.3,1.6,3
310,Coritiba,1.1,1.4,3
311,Guingamp,1.1,1.4,3
312,Tigre,1.1,1.4,3
313,Minnesota,1.3,1.6,3
314,Venezia,1.2,1.5,3
315,Necaxa,1.1,1.3,3
316,Rosario Central,1.1,1.4,3
317,Hull City,1.0,1.3,3
318,Fortuna,1.3,1.6,3
319,Lillestrøm,1.3,1.6,3
320,Kayserispor,1.4,1.7,3
321,Aberdeen,1.1,1.4,3
322,Paris FC,1.1,1.3,3
323,Preston,1.1,1.4,3
324,Brann,1.3,1.6,3
325,Zaragoza,0.9,1.2,3
326,Omonia Nicosia,1.3,1.6,3
327,Sporting KC,1.2,1.5,3
328,Albacete,1.1,1.4,3
329,Antalyaspor,1.2,1.5,3
330,Luzern,1.3,1.7,3
331,Racing,1.2,1.5,3
332,Cerezo Osaka,1.1,1.4,3
333,Fortuna Sittard,1.4,1.7,3
334,Alavés,0.9,1.1,3
335,Newell's,0.8,1.1,3
336,Karlsruher SC,1.3,1.7,3
337,Tijuana,1.2,1.5,3
338,Le Havre,0.8,1.0,3
339,San Jose,1.3,1.6,3
340,AC Ajaccio,1.0,1.3,3
341,Slovan,1.1,1.4,3
342,Ural,1.0,1.3,3
343,Heidenheim,1.2,1.6,3
344,Consa,1.6,2.0,3
345,Krylia Sovetov,1.0,1.3,3
346,Sheffield Wed.,1.1,1.4,3
347,Mechelen,1.5,1.9,3
348,Toronto FC,1.2,1.5,3
349,Montréal,1.2,1.6,3
350,Huracán,0.9,1.2,3
351,Djurgården,1.2,1.6,3
352,Paços Ferreira,1.1,1.5,3
353,FC Juárez,1.0,1.4,3
354,Eibar,0.9,1.2,3
355,Viking,1.5,2.0,3
356,Independiente,1.0,1.4,3
357,Colón,1.0,1.4,3
358,Barnsley,1.3,1.7,3
359,Sochi,1.1,1.5,3
360,Charlotte FC,1.2,1.7,3
361,Birmingham,1.0,1.4,3
362,Alanyaspor,1.4,1.9,3
363,Cardiff City,1.0,1.4,3
364,WSG Tirol,1.3,1.8,3
365,Las Palmas,0.9,1.3,3
366,Godoy Cruz,1.0,1.4,3
367,Banfield,0.9,1.3,3
368,Randers,1.2,1.6,3
369,Greuther Fürth,1.1,1.5,3
370,Ankaragücü,1.1,1.5,3
371,İstanbulspor,1.2,1.6,3
372,Chicago,1.2,1.6,3
373,Querétaro,1.0,1.4,3
374,Troyes,1.2,1.7,3
375,Fakel Voronezh,1.0,1.4,3
376,Wigan,0.9,1.3,3
377,Groningen,1.2,1.7,3
378,Excelsior,1.3,1.7,3
379,Lustenau,1.3,1.8,3
380,Austin FC,1.2,1.7,3
381,Como,1.1,1.5,3
382,Sochaux,1.0,1.5,3
383,Houston,1.2,1.7,3
384,Huddersfield,1.0,1.4,3
385,Emmen,1.2,1.8,3
386,Grasshoppers,1.4,2.0,3
387,Vålerenga,1.2,1.8,3
388,Nizhny Novgorod,0.9,1.4,3
389,SK Austria,1.3,1.9,3
390,Colorado,1.1,1.6,3
391,QPR,1.0,1.5,3
392,Hammarby,1.2,1.8,3
393,Holstein Kiel,1.3,1.9,3
394,Darmstadt 98,1.1,1.6,3
395,Real Salt Lake,1.1,1.6,3
396,Mazatlán,1.1,1.7,3
397,Instituto,1.0,1.5,3
398,Atlético,0.9,1.4,3
399,Ballkani,1.2,1.8,3
400,Melbourne City,1.3,1.9,3
401,Leganés,0.9,1.3,3
402,FC Tokyo,1.2,1.7,3
403,Sarmiento,0.9,1.4,3
404,Platense,0.8,1.3,3
405,Hartberg,1.2,1.8,3
406,Pisa,0.9,1.4,3
407,Belgrano,0.9,1.4,3
408,Cambuur,1.2,1.9,3
409,Rotherham,1.0,1.5,3
410,Gimnasia,0.9,1.4,3
411,Südtirol,0.7,1.2,3
412,St. Louis,1.1,1.7,3
413,Sagan Tosu,0.9,1.5,3
414,Bolton,0.9,1.4,3
415,Oviedo,0.8,1.3,3
416,Sarpsborg,1.1,1.8,3
417,Tromsø,1.1,1.7,3
418,Ümraniyespor,1.1,1.8,3
419,Palermo,1.1,1.7,3
420,Riga FS,1.2,1.8,3
421,AaB,1.0,1.6,3
422,Villarreal B,1.0,1.6,3
423,Giresunspor,1.1,1.7,3
424,1. FCK,1.0,1.6,3
425,Málaga,0.8,1.3,3
426,Blackpool,1.1,1.7,3
427,Plymouth Argyle,1.0,1.7,3
428,Racing,0.9,1.4,3
429,Dijon FCO,0.8,1.4,3
430,Central Córdoba,0.9,1.5,3
431,Barracas Central,0.9,1.5,3
432,Žalgiris,1.1,1.8,3
433,St Mirren,0.9,1.6,3
434,C.C. Mariners,1.3,2.0,3
435,Unión,0.9,1.5,3
436,Peterborough,1.0,1.7,3
437,Norrköping,1.1,1.8,3
438,Derby County,0.9,1.6,3
439,Cartagena,0.9,1.5,3
440,Vaduz,1.0,1.6,3
441,Sporting Gijón,0.9,1.5,3
442,Kortrijk,1.1,1.8,3
443,Inter Miami,1.1,1.8,3
444,Kalmar,1.0,1.6,3
445,Reading,0.9,1.6,3
446,US Quevilly,1.0,1.7,3
447,Ascoli,0.8,1.5,3
448,Huesca,0.7,1.4,3
449,Odd,0.9,1.6,3
450,Kilmarnock,0.9,1.6,3
451,St Johnstone,0.9,1.6,3
452,OFI,0.9,1.6,3
453,Mirandés,0.9,1.6,3
454,Valenciennes,0.9,1.6,3
455,Arminia,1.1,2.0,3
456,1. FC Magdeburg,1.1,1.9,3
457,Modena,0.9,1.7,3
458,Reggina,0.8,1.6,3
459,Rodez,0.7,1.4,3
460,HJK Helsinki,0.9,1.7,3
461,Grenoble,0.6,1.2,3
462,Lyngby,0.9,1.6,3
463,Guangzhou E.,1.1,1.9,3
464,Portsmouth,0.8,1.6,3
465,Zulte Waregem,1.4,2.3,3
466,Pau,0.9,1.7,3
467,Cittadella,0.7,1.4,3
468,Avispa Fukuoka,0.8,1.6,3
469,Hannover 96,1.1,2.0,3
470,Kashiwa Reysol,0.9,1.8,3
471,Ross County,0.9,1.8,3
472,Amiens,0.8,1.6,3
473,Orlando Pirates,0.8,1.5,3
474,SPAL,0.8,1.6,3
475,Ponferradina,0.8,1.6,3
476,Perugia,0.8,1.7,3
477,Nîmes,1.0,1.9,3
478,Atromitos,0.7,1.5,3
479,Arsenal,0.7,1.5,3
480,Strømsgodset,1.0,1.9,3
481,San Antonio,0.9,1.7,3
482,Kyoto Purple Sanga,0.8,1.7,3
483,Burgos,0.7,1.5,3
484,AIK,0.8,1.7,3
485,Gamba Osaka,0.9,1.8,3
486,Stabæk,0.9,1.9,1
487,Livingston,0.8,1.7,3
488,Rheindorf Altach,0.8,1.7,3
489,Sydney FC,1.1,2.0,3
490,Ternana,0.8,1.7,3
491,Charlton Athletic,1.0,1.9,3
492,Ried,0.9,1.8,3
493,Western Sydney,1.0,2.0,1
494,Shonan,0.8,1.7,3
495,Laval,0.8,1.8,1
496,Benevento,0.8,1.7,3
497,Beijing Guoan,1.0,2.0,1
498,Nürnberg,0.8,1.7,3
499,Louisville City,0.8,1.8,1
500,Dundee Utd,0.9,1.9,1
501,Wycombe,0.8,1.7,3
502,Haugesund,0.9,1.9,1
503,Annecy,0.8,1.7,3
504,Shanghai SIPG,0.9,1.9,1
505,Regensburg,0.9,1.9,1
506,San Diego Loyal,0.9,2.0,1
507,Tampa Bay,0.9,1.9,1
508,Pyunik,0.9,1.9,1
